Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year
Barrister Parvateesarrn,R. Prakash,Motion Pictures Combines,,"Lanka Satyam, ",Comedy,1940,1940
Bhoja Kalidasu,H. V. Babu,Jaya Films,,"Adhanki Srirama Murthy, Parepalli Subba Rao, ",Mythology,1940,1940
Bhookailas,Sundar Rao Nadkarni,Saraswathi Cine Films,,M. V. Subbiah Naidu,Devotional,1940,1940
Bondam Pelli,H. M. Reddy,Madras United Artistes Corporation,,L. V. Prasad,Comedy,1940,1940
Chaduvukunna Bharya,H. M. Reddy,Madras United Artistes Corporation,,"Lanka Satyam, ",Comedy,1940,1940
Chandika,R. S. Prakash,Bhavani Pictures,,P. Kannamba,Adventure,1940,1940
Illalu,Gudavalli Ramabrahmam,Indira Devi Films,,"V. Umamaheswara Rao, ",Family,1940,1940
Jeevana Jyothi,China Kameswara Rao Dronamraju,M. R. A. Productions,,"Ch. Narayana Rao, ",Drama,1940,1940
Kalachakram,Amancharla Gopala Rao,Naveena Bharath,,Banda Kanakalingeshwara Rao,Drama,1940,1940
Mahiravana,Ch. Narayana Murthy,Kubera Pictures,,Vemuri Gaggaiah,Mythology,1940,1940
Malathi Madhavam,C. Pullaiah,Metropolitan Pictures,,Pushpavalli,Folklore,1940,1940
Meerabai,B. Narasimha Rao,Navyakala Films,,Govindarajula Subba Rao,Devotional,1940,1940
Sumangali,B. N. Reddy,Vauhini Studios,,"A. S. Giri, ",Social,1940,1940
Viswa Mohini,Y. V. Rao,Sri Jagadesh Films,,Chittor V. Nagaiah,Drama,1940,1940
Apavadu,Gudavalli Ramabrahmam,Kasturi Films,,Kalyanam Raghuramaiah,"Drama
",1941,1941
Bhaktimala,Haribhai Raghunathji Desai,Bhaskar Pictures,,B. R. Panthulu,"Drama
",1941,1941
Chandrahasa,M. L. Rangaiah,Vani Pictures,,"G. N. Swami, ","Folklore
",1941,1941
Choodamani,P. K. Raja Sandow,Janaki Pictures,,Pushpavalli,"Drama
",1941,1941
Dakshayagnam,Ch. Narayana Murthy,Sobhanachala Pictures,,Vemuri Gaggaiah,"Mythology
",1941,1941
