,Title/సినిమా పేరు,Director/దర్శకుడు,Cast/నటులు,Genre/శైలి,Date/తేదీ,Year/సంవత్సరం,Month/నెల,Language/భాష,Soup/సూప్
0,కాళిదాసు,h.m.రెడ్డి,టి.పి.రాజలక్ష్మి,జీవితచరిత్ర,1931-10-31,1931,10,తెలుగు,h.m.రెడ్డి  టి.పి.రాజలక్ష్మి  జీవితచరిత్ర  1931-10-31  1931  తెలుగు
1,భక్త ప్రహ్లాద్,h.m.రెడ్డి,"వెంకటసుబ్బయ్యమునిసిపల్,",భక్తిప్రపత్తులు,1932-02-06,1932,2,తెలుగు,"h.m.రెడ్డి  వెంకటసుబ్బయ్యమునిసిపల్,  భక్తిప్రపత్తులు  1932-02-06  1932  తెలుగు"
2,రామ పాదుక పట్టాభిషేకం,సర్వోత్తంబాదామి,సి.స్.ర్.ఆంజనేయులు,భక్తిప్రపత్తులు,1932-02-06,1932,2,తెలుగు,సర్వోత్తంబాదామి  సి.స్.ర్.ఆంజనేయులు  భక్తిప్రపత్తులు  1932-02-06  1932  తెలుగు
3,శకుంతల,సర్వోత్తంబాదామి,యడవల్లిసూర్యనారాయణ,పురాణశాస్త్రం,1932-02-06,1932,2,తెలుగు,సర్వోత్తంబాదామి  యడవల్లిసూర్యనారాయణ  పురాణశాస్త్రం  1932-02-06  1932  తెలుగు
4,చింతామణి,సదాశివరావుఓదొంగ,"మాస్టర్బాబురావు,భద్రాచార్యులు,పులిపాటివెంకటేశ్వరులు,ప్రామతిలకం,పార్వతీబాయిఎత్చ్.",భక్తిప్రపత్తులు,1933-07-29,1933,7,తెలుగు,"సదాశివరావుఓదొంగ  మాస్టర్బాబురావు,భద్రాచార్యులు,పులిపాటివెంకటేశ్వరులు,ప్రామతిలకం,పార్వతీబాయిఎత్చ్.  భక్తిప్రపత్తులు  1933-07-29  1933  తెలుగు"
5,భూమి కొడుకు,పుతినాశ్రీనివాసరావు,"పరిపల్లిసత్యనారాయణ,",భక్తిప్రపత్తులు,1933-12-20,1933,12,తెలుగు,"పుతినాశ్రీనివాసరావు  పరిపల్లిసత్యనారాయణ,  భక్తిప్రపత్తులు  1933-12-20  1933  తెలుగు"
6,రామదాసు,సి.హడావిడి,ఘంటసాలబలరామయ్య,భక్తిప్రపత్తులు,1933-09-02,1933,9,తెలుగు,సి.హడావిడి  ఘంటసాలబలరామయ్య  భక్తిప్రపత్తులు  1933-09-02  1933  తెలుగు
7,సతీ సావిత్రి,సి.హడావిడి,"నీడుముకలసుబ్బారావు,రామతిలకం,",భక్తిప్రపత్తులు,1933-02-05,1933,2,తెలుగు,"సి.హడావిడి  నీడుముకలసుబ్బారావు,రామతిలకం,  భక్తిప్రపత్తులు  1933-02-05  1933  తెలుగు"
8,సతీ సావిత్రి,h.m.రెడ్డి,"కాంతామణి,వ్.వ్.సుబ్బారావు,కే.ల.కంఠం,హెమ్సింగ్",భక్తిప్రపత్తులు,1933-02-04,1933,2,తెలుగు,"h.m.రెడ్డి  కాంతామణి,వ్.వ్.సుబ్బారావు,కే.ల.కంఠం,హెమ్సింగ్  భక్తిప్రపత్తులు  1933-02-04  1933  తెలుగు"
9,లవ కుశ,సి.హడావిడి,"పారుపల్లిసుబ్బారావు,",భక్తిప్రపత్తులు,1934-12-22,1934,12,తెలుగు,"సి.హడావిడి  పారుపల్లిసుబ్బారావు,  భక్తిప్రపత్తులు  1934-12-22  1934  తెలుగు"
10,సీతా కళ్యాణం,సి.నరసింహారావు,"మాధవపెద్దివెంకట్రామయ్య,మాస్టర్కళ్యాణి,బెజవాడరాజారత్నం,ప్.రామతిలకం,నాగేశ్వరరావు,లంకాకృష్ణమూర్తి",భక్తిప్రపత్తులు,1934-10-06,1934,10,తెలుగు,"సి.నరసింహారావు  మాధవపెద్దివెంకట్రామయ్య,మాస్టర్కళ్యాణి,బెజవాడరాజారత్నం,ప్.రామతిలకం,నాగేశ్వరరావు,లంకాకృష్ణమూర్తి  భక్తిప్రపత్తులు  1934-10-06  1934  తెలుగు"
