,సినిమా పేరు,దర్శకుడు,నటులు,శైలి,తేదీ,సంవత్సరం,నెల
0,కాళిదాసు,H. M. రెడ్డి,టి.పి. రాజలక్ష్మి,జీవిత చరిత్ర,1931-10-31,1931,10
1,భక్త ప్రహ్లాద్,H. M. రెడ్డి,"వెంకట సుబ్బయ్య మునిసిపల్,",భక్తిప్రపత్తులు,1932-02-06,1932,2
2,రామ పాదుక పట్టాభిషేకం,సర్వోత్తం బాదామి,సి. స్. ర్. ఆంజనేయులు,భక్తిప్రపత్తులు,1932-02-06,1932,2
3,శకుంతల,సర్వోత్తం బాదామి,యడవల్లి సూర్యనారాయణ,పురాణశాస్త్రం,1932-02-06,1932,2
4,చింతామణి,సదాశివరావు ఓ దొంగ,"మాస్టర్ బాబురావు, భద్రాచార్యులు, పులిపాటి వెంకటేశ్వరులు, ప్ రామతిలకం, పార్వతీబాయి ఎత్చ్.",భక్తిప్రపత్తులు,1933-07-29,1933,7
5,భూమి కొడుకు,పుతినా శ్రీనివాసరావు,"పరిపల్లి సత్యనారాయణ,",భక్తిప్రపత్తులు,1933-12-20,1933,12
7,రామదాసు,సి. హడావిడి,ఘంటసాల బలరామయ్య,భక్తిప్రపత్తులు,1933-09-02,1933,9
8,సతీ సావిత్రి,సి. హడావిడి,"నీడుముకల సుబ్బారావు, రామ తిలకం,",భక్తిప్రపత్తులు,1933-02-05,1933,2
9,సతీ సావిత్రి,H. M. రెడ్డి,"కాంతామణి, వ్.వ్. సుబ్బా రావు, కే.ల. కంఠం, హెమ్ సింగ్",భక్తిప్రపత్తులు,1933-02-04,1933,2
12,లవ కుశ,సి. హడావిడి,"పారుపల్లి సుబ్బారావు,",భక్తిప్రపత్తులు,1934-12-22,1934,12
13,సీతా కళ్యాణం,సి.నరసింహారావు,"మాధవపెద్ది వెంకట్రామయ్య, మాస్టర్ కళ్యాణి, బెజవాడ రాజారత్నం, ప్. రామ తిలకం, నాగేశ్వర రావు, లంకా కృష్ణమూర్తి",భక్తిప్రపత్తులు,1934-10-06,1934,10
14,భక్త కుచేల,కె. సదాశివరావు,ఎ. రఘురామయ్య,భక్తిప్రపత్తులు,1935-07-20,1935,7
15,హరిశ్చంద్రుడు,T. A. రామన్,"అదంకి శ్రీరామ మూర్తి,",భక్తిప్రపత్తులు,1935-11-09,1935,11
16,సతీ అనసూయ,చౌదరి ఇక్కడ,"దాసరి కోటరత్నం, తుంగల చలపతి",భక్తిప్రపత్తులు,1935-11-09,1935,11
17,సాచి సక్ బై,చారు రాయ్,"తుంగల చలపతి రావు, దాసరి కోటిరత్నం, సురవరపు వెంకటేశ్వరులు, దాసరి అంజని బై",భక్తిప్రపత్తులు,1935-05-21,21 May 1935,5
18,శ్రీ కృష్ణ లీలలు,సి.నరసింహారావు,ఎస్. రాజేశ్వర రావు,కాదు_నిర్దిష్ట,1935-11-30,1935,11
19,శ్రీ కృష్ణ తుల్బహారం,సి. హడావిడి,"రామనాథ్ శాస్త్రి కపిలవాయి,",భక్తిప్రపత్తులు,1935-04-22,1935,4
21,ధ్రువ (అల్సొ నోన్ అస్ దృవ విజయము),సి. హడావిడి,"సి. నారాయణస్వామి, ట్. వెంకటేశ్వరులు, ఎం. హేమలత, సీతారాం, ఎం. రంగాచారి, ఆ. నరసింహా రావు, లలిత",పురాణశాస్త్రం,1935-04-22,1935,4
22,ద్రూపడి మానసంరక్షణ,లేదా. స్వయంగా జగననాథుడు,బళ్లారి రాఘవ,పురాణశాస్త్రం,1936-03-24,1936,3
23,ద్రౌపది దుస్తులు,h. విశ్వనాథ్ బాబు,యడవల్లి సూర్యనారాయణ,పురాణశాస్త్రం,1936-02-29,1936,2
25,లంకా దహనం,కె. సదాశివరావు,ఎ. రఘురామయ్య,పురాణశాస్త్రం,1936-02-05,1936,2
26,మాయాబజార్ (అల్సొ నోన్ అస్ శశిరేఖ పరిణయం),పి.వి. ఆ,"యడవల్లి నాగేశ్వరరావు,",పురాణశాస్త్రం,1936-02-05,1936,2
27,ప్రేమవిజయం,కృత్తివెంటి నాగేశ్వర రావు,"రంగా రో, పి. ఎస్. శర్మ, బి. రాజలక్ష్మ, పి. రామారావు,",కాదు_నిర్దిష్ట,1936-02-05,1936,2
29,సంపూర్ణ రామాయణం,"ఐ.నాగభూషణరావు, ఎన్.బి.నారాయణ","బి. నారాయణ మూర్తి, ఎం. నారాయణరావు,",భక్తిప్రపత్తులు,1936-02-05,1936,2
30,సతీ తులసి,సి.నరసింహారావు,ఘంటసాల బలరామయ్య,పురాణశాస్త్రం,1936-02-05,1936,2
32,వీరాభిమన్యు,V. D. అమీన్,కాంచనమాల,పురాణశాస్త్రం,1936-02-05,1936,2
33,బాలయోగిని,ఎ. సుబ్రహ్మణ్యం,బేబీ సరోజ,నాటకం,1936-02-05,1936,2
34,దశావతారములు,కె. W. ధర వద్ద,"పారేపల్లి సుబ్బా రావు, మంద సుబ్బారావు, ద్రోణంరాజు నరసింహారావు, తీగెల వెంకటేశ్వర్లు, కోడేరు రజసోదరులు, దొమ్మితి సత్యనారాయణ",పురాణశాస్త్రం,1937-09-27,1937,9
35,కెనడా,h. విశ్వనాథ్ బాబు,"దొమ్మాటి సూర్యనారాయణ,",శృంగారం,1937-09-27,1937,9
36,మోహినీ రుక్మాంగద్,సి.నరసింహారావు,వేమూరి గగ్గయ్య,పురాణశాస్త్రం,1937-09-27,1937,9
37,నైరా నారాయణ,సి.నరసింహారావు,"అదంకి శ్రీరామ మూర్తి, ప్. రామ తిలకం, పులిపాటి వెంకటేశ్వర్లు",భక్తిప్రపత్తులు,1937-09-27,1937,9
38,రుక్మిణీ కళ్యాణం,ఆర్. నటరాజ ముదలియార్,ఎ. రఘురామయ్య,భక్తిప్రపత్తులు,1937-09-27,1937,9
39,సారంగధర్,బి. హడావిడి,బండా కనకలింగేశ్వరరావు,భక్తిప్రపత్తులు,1937-09-27,1937,9
41,విప్ర నారాయణ,అహింద్ర చౌదరి,"కస్తూరి నరసింహారావు,",భక్తిప్రపత్తులు,1937-09-27,1937,9
42,భక్త జయదేవ్,ఆమె బోస్,సురభి కమలాబాయి,భక్తిప్రపత్తులు,1937-09-27,1937,9
43,భక్త మార్కండేయ,సి. నారాయణ మూర్తి,వేమూరి గగ్గయ్య,భక్తిప్రపత్తులు,1938-06-17,1938,6
44,చల్ మోహన రంగా,సి. హడావిడి,"వల్లి సుబ్బారావు,",నాటకం,1938-01-12,1938,1
45,చిత్రనళీయం,డి. రామి రెడ్డి,బండా కనకలింగేశ్వరరావు,పురాణశాస్త్రం,1938-01-12,1938,1
46,గృహలక్ష్మి,H. M. రెడ్డి,వ్. నాగయ్య,నాటకం,1938-03-12,1938,3
47,గులేబకావలి,దొంగ సదాశివరావు,బి. జయమ్మ,ఫాంటసీ,1938-03-12,1938,3
48,కచ దేవయాని,సి.ద్రోణంరాజు,"స్. ప్. లక్ష్మణ స్వామి, సి. కృష్ణవేణి, సి. సూర్యనారాయణ భాగవతార్, ర్. రమి రెడ్డి, కే. రఘురామయ్య",పురాణశాస్త్రం,1938-03-12,1938,3
49,కాసుల పేరు,సి. హడావిడి,"కే. హనుమంత రావు, సుందరమ్మ, శ్రీహరి, తులసమ్మ",నాటకం,1938-01-12,1938,1
50,కృష్ణ జరాసంధ,సి.నరసింహారావు,"టి. రామకృష్ణ శాస్త్రి,",పురాణశాస్త్రం,1938-01-12,1938,1
51,చెడు twerk,గూడవల్లి రామబ్రహ్మం,గోవిందరాజుల సుబ్బారావు,సామాజిక,1938-09-25,1938,9
52,మోహినీ బస్మాసుర,సి. హడావిడి,పుష్పవల్లి,భక్తిప్రపత్తులు,1938-09-25,1938,9
54,సత్యనారాయణ వ్రతం,సి. హడావిడి,"కామరాజు, దేవరకొండ రామూర్తి, హైమావతి, లష్మినరసమ్మ",నాటకం,1938-01-12,1938,1
55,తుకారాం,బి. నారాయణరావు,సి. స్. ర్. ఆంజనేయులు,నాటకం,1938-01-12,1938,1
57,జయప్రద,చ. నరసింహారావు,సి. స్. ర్. ఆంజనేయులు,భక్తిప్రపత్తులు,1938-01-12,1938,1
58,మహానంద,చిన కామేశ్వరరావు ద్రోణమరాజు,"అదంకి శ్రీరామ మూర్తి, పారేపల్లి సుబ్బా రావు,",భక్తిప్రపత్తులు,1938-01-12,1938,1
59,తోలు వస్తువులు,I. V. రావు,I. V. రావు,సామాజిక,1938-01-12,1938,1
60,బాండురంగ వదిలేస్తే,బి. v. రామానందం,"పంచాంగం రామానుజాచార్య, ట్. చలపతి రావు, దాసరి కోటిరత్నం, డ్. సత్యనారాయణ, కాంతామణి",భక్తిప్రపత్తులు,1938-01-12,1938,1
61,పాశుపతాస్త్రం,కె. రంగారావు,ఎ. రఘురామయ్య,భక్తిప్రపత్తులు,1938-01-12,1938,1
62,మాతృ భూమి,H. M. రెడ్డి,ప్. యూ. చిన్నప్ప,నాటకం,1938-01-12,1938,1
64,రైతు పడిపోయాడు,గూడవల్లి రామబ్రహ్మం,బళ్లారి రాఘవ,సామాజిక,1939-08-27,1939,8
65,శ్రీ వెంకటేశ్వర మహత్యం,బి. హడావిడి,సి. స్. ర్. ఆంజనేయులు,భక్తిప్రపత్తులు,1939-08-27,1939,8
66,"నేను నీకు నమస్కరిస్తున్నాను, తల్లీ",బి ఎన్ రెడ్డి,వ్. నాగయ్య,సామాజిక,1939-08-27,1939,8
67,వర వికాసం,సి. హడావిడి,పుష్పవల్లి,సామాజిక,1939-08-27,1939,8
68,బారిస్టర్ పార్వతీశరణ్,ఆర్. కాంతి,"లంకా సత్యం,",హాస్యం,1940-01-01,1940,1
69,భోజ కాళిదాసు,H. V. బాబు,"అదంకి శ్రీరామ మూర్తి, పారేపల్లి సుబ్బా రావు,",పురాణశాస్త్రం,1940-01-01,1940,1
70,భూకంపం,సుందర్ రావ్ నాదకర్ణి,M. V. సుబ్బయ్య నాయుడు,భక్తిప్రపత్తులు,1940-01-01,1940,1
71,బొండం పెళ్లి,H. M. రెడ్డి,ఎల్. v. సమర్పణ,హాస్యం,1940-01-01,1940,1
72,చదువుకున్న భార్య,H. M. రెడ్డి,"లంకా సత్యం,",హాస్యం,1940-01-01,1940,1
73,చండికా,ఆర్. ఎస్. కాంతి,ప్. కన్నాంబ,సాహసం,1940-01-01,1940,1
74,ఇల్లాలు,గూడవల్లి రామబ్రహ్మం,"W. ఉమ్మమహేశ్వరరావు,",కుటుంబం,1940-01-01,1940,1
75,జీవన జ్యోతి,చిన కామేశ్వరరావు ద్రోణమరాజు,"చ. నారాయణరావు,",నాటకం,1940-01-01,1940,1
76,కాలచక్ర,ఆమంచర్ల గోపాల రావు,బండా కనకలింగేశ్వరరావు,నాటకం,1940-01-01,1940,1
77,ఇది వినాశకరమైనది,f. నారాయణ మూర్తి,వేమూరి గగ్గయ్య,పురాణశాస్త్రం,1940-01-01,1940,1
78,మాలతీ మాధవం,సి. హడావిడి,పుష్పవల్లి,జానపద సాహిత్యం,1940-01-01,1940,1
79,మీరాబాయి,బి. నరసింహారావు,గోవిందరాజుల సుబ్బారావు,భక్తిప్రపత్తులు,1940-01-01,1940,1
80,సుమంగళి,బి ఎన్ రెడ్డి,"ఎ. ఎస్. గిరి,",సామాజిక,1940-01-01,1940,1
81,విశ్వ మోహిని,I. V. రావు,చిట్టో ఆర్ వి. నా గయా హెచ్,నాటకం,1940-01-01,1940,1
82,మినహాయింపులు,గూడవల్లి రామబ్రహ్మం,కల్యాణం రఘురామాయః,నాటకం,1941-01-01,1941,1
83,భక్తిమాల,హరిభాయ్ రఘునాథ్‌జీ దేశాయ్,బి. ర్. పంతులు,నాటకం,1941-01-01,1941,1
84,చంద్రహాస,M. L. రంగయ్య,"జి.ఎన్. స్వామి,",జానపద సాహిత్యం,1941-01-01,1941,1
85,చూడమని,P. K. రాజా శాండో,పుష్పవల్లి,నాటకం,1941-01-01,1941,1
86,దక్షయగానం,f. నారాయణ మూర్తి,వేమూరి గగ్గయ్య,పురాణశాస్త్రం,1941-01-01,1941,1
87,దేవత,బి ఎన్ రెడ్డి,చిట్టో ఆర్ వి. నా గయా హెచ్,నాటకం,1941-01-01,1941,1
88,చట్టబద్ధమైన భార్య,బి. హడావిడి,శాంత కుమారి,నాటకం,1941-01-01,1941,1
89,మహాత్మా గాంధీ,ఎ. కె. చెట్టియార్,"బెజవాడ రాజారత్నం,",డాక్యుమెంటరీ,1941-01-01,1941,1
90,పార్వతీ కళ్యాణం,ఘంటసాల బలరామయ్య,"పారేపల్లి సుబ్బారావు,",భక్తిప్రపత్తులు,1941-01-01,1941,1
91,తల్లి ప్రేమ,జ్యోతిష్ సిన్హా,సి. స్. ర్. ఆంజనేయులు,నాటకం,1941-01-01,1941,1
92,తారా శశాంకమ్,ఆర్. ఎస్. కాంతి,పి. సూరి బాబు,పురాణశాస్త్రం,1941-01-01,1941,1
93,తరుమారు,లేదా. జగన్నాథం,"పరబ్రహ్మ శ్రీ, హేమలత, డ్ర్. శివరామ కృష్ణయ్య",నాటకం,1941-01-01,1941,1
94,తెనాలి రామకృష్ణ,H. M. రెడ్డి,"ఎస్. సంగీత స్థాయి యొక్క ఐదవ గమనిక. లక్ష్మణ స్వయంగా, పేరేపల్లి సుబ్బారావు, పి. రామతిలకం, పి. అనసూయ,",జానపద సాహిత్యం,1941-01-01,1941,1
95,బబ్రువాహన్,ఆర్. ఎస్. కాంతి,కె. ఎస్. ప్రకాశరావు,నాటకం,1941-01-01,1942,1
