,Title,Director,Cast,Genre,Date,Year
0,Kalidas,H. M. Reddy,T. P. Rajalakshmi,"Biographical","31 October 1931","1931"
1,Bhakta Prahlada,H. M. Reddy,"Venkata Subbaiah Municipalle, ",Devotional,"6 February 1932","1932"
2,Rama Paduka Pattabhishekam,Sarvottam Badami,C. S. R. Anjaneyulu,"Devotional","",""
3,Shakuntala,Sarvottam Badami,Yadavalli Suryanarayana,"Mythology","",""
4,Chintamani,Sadasiva Rao Kallakoori,"Master Baburao, Bhadracharyulu, Pulipati Venkateswarulu, P Ramatilakam, Parvatibai etc.","Devotional","29 July 1933","1933"
5,Prithvi Putra,Potina Srinivasa Rao,"Parepalli Satyannarayana, ","Devotional","20 December 1933","1933"
6,Prajvala Alapana,"Sadasiva Rao","","","",""
7,Ramadasu,C. Pullaiah,Ghantasala Balaramayya,"Devotional","2 September 1933","1933"
8,Sati Savitri,C. Pullaiah,"Nidumukkala Subba Rao, Rama Thilakam, ","Devotional","5 February 1933","1933"
9,"Sathi Savitri",H. M. Reddy,"Kanthamani, V.V. Subba Rao, K.L. Kantham, Hem Singh","Devotional","4 February 1933","1933"
10,Athulya Sahavasam andi,"Pullaya","","","",""
11,Ahalya,"K. Rangarao","","","",""
12,Lava Kusa,C. Pullaiah,"Parupalli Subba Rao, ","Devotional","22 December 1934","1934"
13,Sita Kalyanam,"C. Narasimha Rao","Madhavapeddi Venkatramaiah, Master Kalyani, Bezawada Rajarathnam, P. Rama Thilakam, Nageswara Rao, Lanka Krishnamurthy","Devotional","6 October 1934","1934"
14,Bhakta Kuchela,"K. Sadasivarao",K. Raghuramaiah,"Devotional","20 July 1935","1935"
15,Harishchandra,"T. A. Raman","Adhanki Srirama Murthy, ","Devotional","9 November 1935","1935"
16,Sati Anasuya,"Ahin Chowdhary","Dasari Kotaratnam, Tungala Chalapati",Devotional,"",""
17,Sati Sakkubai,"Charu Rai","Tungala Chalapati Rao, Dasari Kotiratnam, Suravarapu Venkateswarulu, Dasari Anjani Bai","Devotional","21 May 1935","21 May 1935"
18,Sri Krishna Leelalu,"C. Narasimha Rao",S. Rajeswara Rao,"","30 November 1935","1935"
19,Sri Krishna Tulabharam,C. Pullaiah,"Ramanatha Sastri Kapilavayi, ",Devotional,"22 April 1935","1935"
20,Rani Premalata,"","","","",""
21,Dhruva (Also Known as Dhruva Vijayamu),C. Pullaiah,"C. Narayanaswamy, T. Venkateswarulu, M. Hemalata, Sitaram, M. Rangachari, A. Narasimha Rao, Lalitha",Mythology,"",""
22,Draupadi Maanasamrakshana,"N. Jaganatha Swamy",Bellary Raghava,Mythology,"24 March 1936","1936"
23,Draupadi Vastrapaharanam,"H. Vishwanath Babu",Yadavalli Suryanarayana,Mythology,"29 February 1936","1936"
24,Kabir,"S. Rangaswamy","","","5 February 1936","1936"
25,Lanka Dahanam,"K. Sadasivarao",K. Raghuramaiah,Mythology,"",""
26,Mayabazar (Also Known as Sasirekha Parinayam),"P. V. Das","Yadavalli Nageswara Rao, ",Mythology,"",""
27,Premavijayam,"Krithiventi Nageshwara Rao","Ranga Rao, P. S. Sharma, B. Rajalakshma, P. Rama Rao, ",,"",""
28,Premilarjuneyam,"",,,"",""
29,Sampoorna Ramayanam,"I. Nagabhushana Rao, N. B. Narayana","B. Narayana Murthy, M. Narayana Rao, ",Devotional,"",""
30,Sati Tulasi,"C. Narasimha Rao",Ghantasala Balaramayya,Mythology,"",""
31,Sulochana,"",,,"",""
32,Veerabhimanyu,"V. D. Ameen",Kanchanamala,Mythology,"",""
33,Balayogini,K. Subrahmanyam,Baby Saroja,Drama,"",""
34,Dasavataramulu,"K. V. Bhave","Parepalli Subba Rao, Mandha Subbarao, Dronamraju Narasimharao, Tigela Venkateswarlu, Koderu Rajasodarulu, Dommiti Satyanarayana",Mythology,"27 September 1937","1937"
35,Kanakatara,"H. Vishwanath Babu","Dommeti Suryanarayana, ",Romance,"",""
36,Mohini Rukmangada,"C. Narasimha Rao",Vemuri Gaggaiah,Mythology,"",""
37,Nara Narayana,"C. Narasimha Rao","Adhanki Srirama Murthy, P. Rama Thilakam, Pulipati Venkateswarlu",Devotional,"",""
38,Rukmini Kalyanam,"R. Nataraja Mudaliar",K. Raghuramaiah,Devotional,"",""
39,Sarangadhara,P. Pullaiah,Banda Kanakalingeshwara Rao,Devotional,"",""
40,Vijayadashami,"",,,"",""
41,Vipra Narayana,"Ahindra Chaudhari","Kasturi Narasimha Rao, ",Devotional,"",""
42,Bhakta Jayadeva,"Hiren Bose",Surabhi Kamalabai,Devotional,"",""
43,Bhakta Markandeya,C. Narayana Murthy,Vemuri Gaggaiah,Devotional,"17 June 1938","1938"
44,Chal Mohana Ranga,C. Pullaiah,"Valli Subba Rao, ",Drama,"12 January 1938","1938"
45,Chitranaleeyam,"D. Rami Reddy",Banda Kanakalingeshwara Rao,Mythology,"",""
